time_period,time_identifier,geographic_level,country_code,country_name,breakdown_topic,breakdown,progression_rate,high_tariff_progression_rate,number_of_he_students,number_of_high_tariff_he_students,number_of_students
201920,Academic year,National,E92000001,England,Ethnicity Major,Black / African / Caribbean / Black British,59.9,10.9,16732,3057,27945
201920,Academic year,National,E92000001,England,Ethnicity Major,Other Ethnic Group,58.7,15.4,4816,1267,8209
201920,Academic year,National,E92000001,England,Ethnicity Major,Unknown,43.7,14.3,2157,705,4931
201920,Academic year,National,E92000001,England,Care Leaver,Care Leaver,11.0,2.0,650,100,5710
201920,Academic year,National,E92000001,England,Care Leaver,All Other Pupils,43.0,12.0,232760,66750,535320
202021,Academic year,National,E92000001,England,FSM Status,Free School Meals,28.1,4.6,19719,3234,70052
202021,Academic year,National,E92000001,England,FSM Status,All Other Pupils,46.8,13.2,215383,60823,459750
202021,Academic year,National,E92000001,England,Disadvantage,Disadvantaged,30.7,5.1,42904,7180,139635
202021,Academic year,National,E92000001,England,Disadvantage,All Other Pupils,49.3,14.6,192198,56877,390167
202021,Academic year,National,E92000001,England,SEN Provision,SEN support / SEN without an EHC plan,22.5,3.7,12400,2054,55091
202021,Academic year,National,E92000001,England,SEN Provision,"Education, health and care plan",8.7,1.2,1756,237,20241
202021,Academic year,National,E92000001,England,SEN Provision,No SEN provision,48.6,13.6,220946,61766,454470
202021,Academic year,National,E92000001,England,First Language,English,41.6,11.7,184801,51840,444657
202021,Academic year,National,E92000001,England,First Language,Other than English,59.2,14.4,49963,12139,84428
202021,Academic year,National,E92000001,England,First Language,Unclassified,47.1,10.9,338,78,717
202021,Academic year,National,E92000001,England,Sex,Female,50.6,13.5,131758,35250,260374
202021,Academic year,National,E92000001,England,Sex,Male,38.4,10.7,103344,28807,269428
202021,Academic year,National,E92000001,England,Ethnicity Minor,English / Welsh / Scottish / Northern Irish / British,39.1,10.9,148455,41552,379953
202021,Academic year,National,E92000001,England,Ethnicity Minor,Irish,54.7,21.6,924,365,1688
202021,Academic year,National,E92000001,England,Ethnicity Minor,Traveller of Irish Heritage,9.3,0.8,12,1,129
202021,Academic year,National,E92000001,England,Ethnicity Minor,Gypsy / Roma,6.8,1.3,79,15,1156
202021,Academic year,National,E92000001,England,Ethnicity Minor,Any Other White Background,49.0,14.1,12642,3646,25787
202021,Academic year,National,E92000001,England,Ethnicity Minor,White and Black Caribbean,35.3,7.3,2504,521,7097
202021,Academic year,National,E92000001,England,Ethnicity Minor,White and Black African,51.7,13.4,1412,367,2732
202021,Academic year,National,E92000001,England,Ethnicity Minor,White and Asian,55.5,21.1,2880,1094,5193
202021,Academic year,National,E92000001,England,Ethnicity Minor,Any other Mixed / Multiple ethnic background,53.0,16.1,4597,1392,8667
202021,Academic year,National,E92000001,England,Ethnicity Minor,Indian,72.6,24.0,10181,3362,14018
202021,Academic year,National,E92000001,England,Ethnicity Minor,Pakistani,58.4,10.4,12505,2223,21397
